composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
C1 F3 H2 Na1 O4 S1,86710,14,,97111,14,mp-601228,,,,,
Cu1 O3 P1,174557,148,mp-772255,169233,148,,,,,,
Cl4 H22 N7 O8 Ru1,153328,8,mp-695295,87254,8,,,,,,
C6 H1 O6 Rh1 Ru1,154782,1,,96951,1,,,,,,
I4 S16 Sn1,86428,43,mp-649878,37323,43,,,,,,
As2 K1 Rh2,94179,139,,87162,139,mp-34232,,,,,
Ca0.6 Mg7.4 O24 Si8,112660,14,,24900,14,,,,,,
Al1 Ca1 O6 Sc1 Si1,87226,14,mp-39167,54828,14,,,,,,
Ca1 Na1 O12 Sc1 Si4 Zn1,152934,13,mp-684991,57742,13,,,,,,
Al6 N2 Na8 O29.9976 Si6,138903,218,,28797,218,,,,,,
Ca3 F1 Na1 O12 P3 Sm1,153249,1,mp-693612,57547,1,,,,,,
Bi3 Na7 O48 P12 Pb10,153061,1,mp-686311,55108,1,,,,,,
Ba2 O13 Ti6,89068,12,,17304,12,mp-7733,,,,,
Li1 O44 V18,100807,11,,10374,11,,,,,,
Cu1 S4 V2,94829,227,,37889,227,mp-5178,,,,,
C4 H8 K3 O16 Ru2,103620,15,,9482,15,,,,,,
Ca1 Cu1,86381,62,,44902,62,mp-585949,,,,,
Cu4 Rb1 S3,143518,123,,92664,123,,,,,,
Ge1 O3 Pb1,85590,13,mp-553898,40805,13,,,,,,
F9 K1 U2,86953,62,,39970,62,mp-504555,,,,,
La9 N3 O23 Si6 Ti1,87488,143,,56148,143,,,,,,
Cl24 Cs14 Np6 O12,101451,220,,100480,220,,,,,,
Eu1 Ga2 S4,151991,70,,86184,70,,,,,,
Ag26 I18 O16 W4,99191,12,,22675,12,,,,,,
Hf1,30719,229,,20296,229,mp-100,,,,,
Ag26 I18 O16 W4,89073,5,,25023,5,,,,,,
Te3 Tl2,87394,9,mp-680731,86266,9,,,,,,
Na1 O12 P3 Pb4,153217,173,mp-690977,56469,173,,,,,,
Al6 N45 O3 Si30 Y1,153099,1,mp-686618,56233,1,,,,,,
Al6 N45 O3 Si30 Y1,152670,1,mp-677140,55247,1,,,,,,
Cr1 K1 O8 S2,128782,147,,32698,147,,,,,,
Cu1,30545,225,,10628,225,mp-30,,,,,
C64 H192 I12 Nd4 O32 S32,134376,14,,35641,14,,,,,,
C64 H192 I12 Nd4 O32 S32,35642,14,,134377,14,,,,,,
B1 Gd1 O3,85534,194,mp-561949,20578,194,,,,,,
Cr2 Fe1 S4,95058,227,,19093,227,mp-21019,,,,,
Na3 O6 W4,154048,44,mp-699368,152512,44,,,,,,
Al3 Li1 N14 O2 Si9,153336,1,mp-695365,56955,1,,,,,,
As1 Ce1 Fe1 O1,85549,129,,55119,129,,,,,,
