snlgroup_id 1,snlgroup_id 2,snl_id 1,snl_id 2,shared icsd_id,matches
150531,150532,334177,334201,15689,False
154287,28189,350037,36481,97867,True/True/True/True
154287,28189,350037,158259,97867,True/True/True/True
154287,28189,350037,249944,97867,True/True/True/True
154287,28189,350037,349024,97867,True/True/True/True
154287,28189,350037,352006,97867,True/True/True/True
150888,150528,334811,334810,281333,False
150528,150530,334175,334178,15689,False
150528,150530,334175,334208,15689,False
90807,154395,187222,350597,15475,False
23508,23507,30438,138797,56042,True/True/True/True
22634,151204,29095,335628,56604,False
22634,151204,29095,340593,56604,False
19173,84894,24404,136138,43559,False
19173,84894,24404,204724,43559,True/True/False/False
37256,85310,51574,144921,36324,False
37256,85310,51574,339704,36324,False
37256,85310,51574,340825,36324,False
20585,12142,26272,132116,429,True/True/True/True
20585,12142,26272,155041,429,True/True/True/True
154285,154156,349927,348945,16726,False
154156,151554,348945,336730,16726,False
154156,151554,348945,336807,16726,False
154156,151554,348945,352565,16726,False
151554,154152,336730,348932,16726,False
87459,19011,177624,24154,43033,False
87459,19011,177624,204299,43033,False
151006,151078,335012,335154,167991,False
85601,10284,149631,12618,9857,False
85601,10284,149631,185708,9857,False
151133,151131,335300,335297,76650,True/True/True/True
151133,151131,335300,335345,76650,True/True/True/True
151133,151131,335300,335361,76650,True/True/True/True
151131,151132,335297,335299,76650,False
150500,150478,334132,334110,109391,False
150500,150478,334132,334131,109391,False
150500,150478,334132,334139,109391,False
151078,150967,335154,334946,167991,False
150479,88411,334108,334109,109391,True/True/True/True
150967,150937,334946,334891,167991,False
151597,92228,336912,191152,24006,False
151153,151147,335402,335370,9116,False
151153,151147,335402,335396,9116,True/True/False/False
150937,150850,334891,334727,167991,False
150850,150614,334727,334354,167991,False
150614,150611,334354,334351,167991,False
39314,37019,54561,135730,74778,True/True/True/True
151213,85303,335826,144772,21014,False
151213,85303,335826,160352,21014,False
151213,85303,335826,161420,21014,False
151213,85303,335826,173809,21014,False
86602,381,162801,397,110586,False
86602,381,162801,260833,110586,False
85303,25190,144772,32684,21014,False
85303,25190,144772,189757,21014,False
150611,150612,334351,334352,167991,False
