category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,Ba1 O3 Ti1,7776,38,mp-5777,1496,221,mp-2998,0.0137,0.627,0.41,"(0.0222,0.0368)",different
diff. SGs,C1 K4 O4,150388,8,mp-605843,5501,121,mp-549869,0.00816,0.12,0.0499,"(0.0728,0.106)",different
diff. SGs,C1 K4 O4,150388,8,mp-605843,5503,5,mp-551561,0.0143,0.346,0.517,"(0.0688,0.118)",different
diff. SGs,C1 K4 O4,5504,146,mp-545387,5499,215,mp-551736,0.00144,0.034,0.0844,"(0.122,0.187)",similar
diff. SGs,C1 K4 O4,5501,121,mp-549869,5503,5,mp-551561,0.00618,0.466,0.567,"(0.0949,0.123)",different
diff. SGs,Bi1 Fe1 O3,24132,221,mp-561388,85525,63,mp-566101,0.000541,0.179,0.0186,"(0.0113,0.0194)",different
diff. SGs,Bi1 Fe1 O3,24132,221,mp-561388,1593,160,mp-24942,0.182,1.33,1.26,"(0.07,0.131)",different
diff. SGs,Bi1 Fe1 O3,152054,146,mp-655631,85405,1,mp-561070,0.00387,0.0972,0.927,"(0.056,0.0662)",similar
diff. SGs,Bi1 Fe1 O3,87017,146,mp-601706,3280,161,mp-24932,0.162,0.361,0.629,"(0.0452,0.0667)",different
diff. SGs,Bi1 Fe1 O3,85525,63,mp-566101,1593,160,mp-24942,0.182,1.51,1.24,"(0.0699,0.133)",different
diff. SGs,Co1 Fe2 O4,153233,5,mp-691111,53159,152,mp-36738,0.0527,0.103,0.26,"(0.0229,0.0386)",different
diff. SGs,Ag2 S1,85364,11,mp-556225,52796,63,mp-36216,0.00127,0.321,0.116,"(0.0438,0.0718)",different
diff. SGs,Ag2 S1,85364,11,mp-556225,86073,12,mp-32884,0.000684,0.106,0.426,"(0.0416,0.0642)",different
diff. SGs,Ag2 S1,85364,11,mp-556225,87077,36,mp-32669,0.00166,0.11,0.266,"(0.0301,0.0417)",different
diff. SGs,Ag2 S1,52796,63,mp-36216,86073,12,mp-32884,0.00196,0.215,0.31,"(0.0699,0.0978)",different
diff. SGs,Ag2 S1,52796,63,mp-36216,87077,36,mp-32669,0.00293,0.211,0.15,"(0.0579,0.0856)",different
diff. SGs,Ag2 S1,86073,12,mp-32884,87077,36,mp-32669,0.000975,0.0039,0.16,"(0.0302,0.057)",similar
diff. SGs,O5 Ta2,152906,1,mp-684897,173557,8,mp-780772,0.00854,0.0276,0.12,"(0.112,0.288)",similar
diff. SGs,Fe1 Mo1 O6 Sr2,34676,225,mp-19127,1008,87,mp-18857,0.0298,0,0.111,"(0.0316,0.0492)",different
diff. SGs,C1 Na4 O4,35537,8,mp-645295,35536,146,mp-552623,0.000108,0.439,0.437,"(0.0968,0.136)",different
diff. SGs,C1 Na4 O4,35536,146,mp-552623,5492,215,mp-551886,0.00106,0.24,0.0904,"(0.151,0.198)",different
diff. SGs,K1 N1 O3,87098,11,mp-36903,53032,1,mp-675625,0.00529,0.0846,0.639,"(0.16,0.289)",similar
diff. SGs,K1 N1 O3,54740,155,mp-676851,8152,160,mp-6920,0.00728,0.0967,1.77,"(0.228,0.254)",similar
diff. SGs,H2 K1 O4 P1,88297,43,mp-23959,93816,122,mp-696752,0.00492,0.172,0.223,"(0.099,0.188)",different
diff. SGs,Co1 O7 P2,86818,2,mp-31552,49032,15,mp-585220,0.0247,0.56,1.31,"(0.0348,0.0648)",different
diff. SGs,P1,132670,-1,mp-604573,28242,221,mp-53,0.033,0.0741,0.0571,"(0,0)",different
diff. SGs,P1,23316,166,mp-130,84861,74,mp-7245,0.01,0,0.317,"(0.0766,0.0766)",similar
diff. SGs,Nb1 S2,5535,187,mp-1874,13250,42,mp-2648,0.000454,0.0094,10.9,"(0.104,0.127)",similar
diff. SGs,Ca1 O3 Si1,36167,204,mp-4356,36166,139,mp-4853,0.000531,0.0191,0.00617,"(0.03,0.0462)",similar
diff. SGs,Ca1 O3 Si1,36163,140,mp-3387,36164,74,mp-5096,0.000168,0.0215,0.00414,"(0.0542,0.0854)",similar
diff. SGs,Na1 Nb1 O3,9139,29,mp-558920,36148,57,mp-3671,0.000142,0.0479,0.0368,"(0.0913,0.153)",similar
diff. SGs,Na1 Nb1 O3,9147,26,mp-4681,19754,63,mp-4748,0.0107,0.683,0.189,"(0.0841,0.149)",different
diff. SGs,O3 Pb1 Zr1,36537,32,mp-647557,16843,55,mp-542903,0.00519,0.071,0.295,"(0.104,0.27)",similar
diff. SGs,H4 O5 S1,151016,7,mp-626448,150878,14,mp-626109,0.000208,0.0776,0.108,"(0.129,0.293)",similar
diff. SGs,H4 O5 S1,151016,7,mp-626448,88166,14,mp-29095,0.00331,0.0046,0.233,"(0.0561,0.117)",similar
diff. SGs,Ni1 Ti1,2776,157,mp-597,2272,147,mp-2716,0.00361,0.0045,0.0028,"(0.0614,0.157)",similar
diff. SGs,Ba1 H2 O2,99159,62,mp-723021,111604,14,mp-699501,0.0123,0.487,0.447,"(0.122,0.296)",different
diff. SGs,Fe1 O2,88734,227,mp-632573,154919,141,mp-714904,0.171,0.0886,0.964,"(0.0172,0.0211)",different
diff. SGs,Ta1,44501,136,mp-569794,22312,113,mp-42,0.000815,0.0154,0.00179,"(0.0261,0.0496)",similar
diff. SGs,U1,42248,136,mp-93,26208,102,mp-43,0.0105,0.0069,0.106,"(0.0757,0.0885)",different
diff. SGs,H1 Na1 O1,88472,63,mp-23891,87939,11,mp-23940,0.000956,0.0208,0.0228,"(0.0372,0.0498)",similar
same SGs,H1 Na1 O1,150493,160,mp-625052,150494,160,mp-625051,0,0,0,,
diff. SGs,N2,14978,198,mp-154,1786,205,mp-25,0.000191,0.0099,0.213,"(0.0602,0.0641)",similar
diff. SGs,Fe1 O1,7462,225,mp-18905,84557,139,mp-715262,0.414,0,0.639,"(0,0)",different
diff. SGs,H2 O2 Zn1,150650,5,mp-625488,150649,164,mp-625487,0.0164,0.0689,0.21,"(0.191,0.267)",different
diff. SGs,H2 O2 Zn1,150799,4,mp-625857,97351,19,mp-625830,0.00178,0.0248,0.0699,"(0.0769,0.141)",similar
diff. SGs,Ag3 I1 S1,151500,1,mp-632480,17235,221,mp-558189,0.0414,0.352,0.503,"(0.159,0.249)",different
diff. SGs,Ag3 I1 S1,151500,1,mp-632480,51053,6,mp-674981,0.00215,0.0085,0.11,"(0.118,0.174)",similar
diff. SGs,Ag3 I1 S1,151500,1,mp-632480,54299,155,mp-676561,0.00263,0.0728,0.332,"(0.165,0.297)",similar
diff. SGs,Ag3 I1 S1,151500,1,mp-632480,3612,146,mp-22995,0.00855,0.803,0.27,"(0.102,0.149)",different
diff. SGs,Ag3 I1 S1,17235,221,mp-558189,51053,6,mp-674981,0.0393,0.36,0.393,"(0.166,0.227)",different
diff. SGs,Ag3 I1 S1,17235,221,mp-558189,3612,146,mp-22995,0.0499,0.451,0.773,"(0.161,0.198)",different
diff. SGs,Ag3 I1 S1,51053,6,mp-674981,54299,155,mp-676561,0.000486,0.0813,0.223,"(0.16,0.219)",similar
diff. SGs,Ag3 I1 S1,51053,6,mp-674981,3612,146,mp-22995,0.0107,0.812,0.38,"(0.126,0.244)",different
diff. SGs,Ag3 I1 S1,54299,155,mp-676561,3612,146,mp-22995,0.0112,0.731,0.603,"(0.136,0.163)",different
diff. SGs,O3 Ru1 Sr1,87150,74,mp-34212,19590,140,mp-4525,0.00609,0.0351,0.0112,"(0.0877,0.134)",similar
diff. SGs,Nb1 Se2,15974,194,mp-2207,15979,63,mp-618883,0.00435,0,1.25,"(0.00981,0.0166)",similar
diff. SGs,C1 Cs4 O4,5509,215,mp-605824,35561,146,mp-562815,0.0032,0.141,0.177,"(0.137,0.218)",different
diff. SGs,Mo1 O2,154918,12,mp-714883,88282,166,mp-25571,0.0293,0.0278,0.146,"(0.0111,0.0136)",different
diff. SGs,Ag1 I1,152849,119,mp-684580,4105,216,mp-22925,0.0017,0.0532,0.0279,"(1e-16,1e-16)",similar
diff. SGs,Mo1 O2,28921,136,mp-510536,154935,58,mp-715550,0.0131,0,0.03,"(0.0239,0.0297)",different
diff. SGs,Mo1 O2,87811,227,mp-25578,154933,2,mp-715482,0.0189,0.232,0.52,"(0.0465,0.0727)",different
diff. SGs,Mo1 O2,87811,227,mp-25578,151680,70,mp-635966,0.00508,0.114,0.423,"(0.0426,0.0541)",different
diff. SGs,Mo1 O2,87811,227,mp-25578,154925,141,mp-714969,0.0136,0.126,0.388,"(0.0369,0.0452)",different
diff. SGs,Mo1 O2,154933,2,mp-715482,151680,70,mp-635966,0.0138,0.346,0.0967,"(0.0349,0.0576)",different
diff. SGs,Mo1 O2,154933,2,mp-715482,154925,141,mp-714969,0.0325,0.358,0.131,"(0.0333,0.0525)",different
diff. SGs,Mo1 O2,151680,70,mp-635966,154925,141,mp-714969,0.0187,0.0121,0.0348,"(0.0141,0.0212)",different
diff. SGs,Al1 Li1 O4 Si1,37278,180,mp-14399,20951,181,mp-6326,2.12e-06,0.0009,0.00207,"(0.00825,0.0152)",similar
diff. SGs,O3 V2,5700,167,mp-18937,25494,15,mp-715514,0.0015,0.0865,0.0198,"(0.0285,0.0323)",similar
diff. SGs,O3 V2,85484,9,mp-553955,26262,167,mp-714906,0.0439,0.0029,1.92,"(0.0594,0.0897)",different
diff. SGs,Cd1 O3 Ti1,85236,26,mp-20940,40601,33,mp-5052,0.000608,0.0308,0.0306,"(0.115,0.208)",similar
diff. SGs,Cd1 O3 Ti1,85236,26,mp-20940,37894,62,mp-14550,0.00414,0.337,0.103,"(0.0307,0.05)",different
diff. SGs,Cd1 O3 Ti1,40601,33,mp-5052,37894,62,mp-14550,0.00353,0.306,0.134,"(0.113,0.167)",different
