snlgroup_id,snlgroup_key,mismatching snl_ids
39666,Ag1 Eu1 O4 Ti1--57,147320
39667,Li2 O3 Ru1--15,285478
39844,Ce3 Pd6 Sb5--59,157052
39850,Cl1 O12 P3 Sr5--176,83659
39879,C2 Cr1 Sc1--59,147392 153910 161359 233107
39942,Al1 Cs1 F6 Pd1--62,146196
40023,Ca2 Fe1 O6 W1--25,333933
40063,K3 O18 S4 V2--4,162226 163288 343760
40333,Li4 Mo3 O8--166,175171
40613,Dy1 Fe1 Ge2 O7--11,333740 333863
40707,Cl4 Cs2 Pt1--63,141840
41423,Ca1 O8 Si3 Zn1--2,302323
41691,Cu1 Te1--59,162943
41931,O3 W1--60,124322 131434 140552 145669 333449
41986,Br1 O12 P3 Sr5--176,84253 84445
41989,P2 U1--107,177625
42344,B1 Gd1 O3--155,167843
42568,Ba1 Mn2 O5 Y1--129,122515 241336 241337
42577,Bi2 O5 V1--62,168835
42592,Ba1 Cu3 O4--65,171701
42603,Mn2 O3--61,66882 130805 172528 173374 191473
42624,Eu1 Ga2 Se4--70,133779
42860,P6 Rh7 Sr2--113,150361
42912,Ag3 Au1 S2--213,152208
43028,Te1 Tl1--137,128657
43095,N2 Ni1 Sr2--62,341015
43429,Fe1 Ge2 O7 Tb1--11,343403 349302
43433,O3 Sr1 Ti1--140,130100 287342 287343
43535,Ba5 Sb4--62,132286
43569,Ce1 Se2--14,122683
43632,Mn1 O3 Si1--14,134517 139018 349561
43935,F7 In2 K1--11,140346
43938,Na1 O5 V2--42,245148
44249,F4 Mg1 Sr1--11,150534
44331,P1 Ti2--189,158533
44366,Br1 Ce6 N3 S4--62,173697
44393,Na1 O5 V2--15,247590
44414,Co1 Ho1 K1 O7 Si2--3,361737
44417,Cs1 Sb1 Se2--14,130558
44661,Ba1 Fe2 Gd1 O5--51,294322
44669,O9 Rb1 W3--193,142248 153844
45008,O9 V5--2,63844
45045,O11 Ti6--2,343540
45069,Be2 F5 Tl1--13,147819
45413,Ag1 F3 Rb1--140,137692
45452,Se5 U3--62,150561 172454
45465,Ga3 Ni2 Ti4--189,154619
45553,Ir4 Pu5--62,157557
45734,Ni10 Zr7--61,343571
45845,Rh2 Sn1 V1--139,161832
45979,Fe2 Mo5 Na3 O16--164,173866 349520
46539,O1 Pb1--57,341282
46712,Ga3 Y5--130,341296
46751,Cl3 Ru1--59,148106 305571
46797,Ag1 As2 Ce1--57,341248
47220,Mg1 O4 U1--74,134744
47650,O4 Sb2 Zn1--135,160676 161065 161577 174413
47768,B2 S3--14,151367
47989,Cs1 O6 S1 V1--61,148565
48708,Fe1 Li2 O7 P2--15,144616
48709,Fe1 Li1 O7 P2--15,171217
48983,Fe1 Li1 O4 P1--33,344036 349966
49566,Cr1 Li1 O7 P2--15,152837 177961
49570,Cr1 Li1 O7 P2--11,142060 177970 349825
49860,O2 Zr1--137,78137 82670
49890,Fe1 S1--190,171568
49924,O9 Ta10--8,168367 344373
49930,Cu1 I1--7,341648
49979,O3 W1--185,170756
50043,Co27 Se32--2,344294
50448,Mo15 N16--9,152019
50489,La1 Mn1 O3--62,171293 172223
50534,Cu2 Hg1 I4--66,341695
50556,Ba3 Mo18 O28--4,153516
50573,La1 O3 V1--62,171596
50863,Sb9 Se3 Ti20--31,154116
51077,O3 Pr1 Sr1--62,170344 178049
51278,Ba1 O3 Pr1--62,140757 142157 178366
51666,Co1 O3 Y1--62,141168 141588 178398 342072 345608
51682,Mo31 Nd4 O56--1,344542
51687,C2 H1 O2--6,342076
51865,Na2 O3 Pd1--5,151632
51868,Mn1 Nd1 O3--62,171017 171411
51975,Cu3 Na7 O8--2,305564
51982,Mo1 Te3 Tl4--140,342154
52019,Co2 Sb1 Te1--187,342173
52026,Mn11 O36 Pr12--14,157468
52053,F47 Rb16 Sn16--1,158452
52077,Ba3 C2 Ge4--72,342127
52086,Be4 O20 Pr9--1,342223
52562,Li1 Mo1 O2--14,345281
52611,Ca4 Mn4 O11--4,342116 348202
52685,Ga2 Hg1 Te4--1,342299
52953,Nd11 O48 Ti16--38,344720
52974,Al1 Eu14 P11--45,153752
53061,Li1 O4 Ti2--1,342250
53100,I9 K4 Pt2--38,344653
53570,S1 Ta6 Te3--2,342543
53758,La14 Mn16 O45--1,342610 348255
54035,Ni2 Sb1 Te1--187,171923
54057,La1 Mo8 O14--1,342684
54185,N2 Na2 O3--5,344715
54189,N1 O3 Rb1--167,173044
54403,Ba2 Mo6 S9--186,157712
54471,As6 K9 Nb2--7,342763
54482,O18 Rb1 W6--58,348252
54793,Eu1 Li1 O6 Sr1 Te1--7,342835
