category,composition,snlgroup_id 1,sg_num 1,task_id 1,snlgroup_id 2,sg_num 2,task_id 2,delta_energy,delta_bandgap,delta_volume_per_atom,rms_dist,scenario
diff. SGs,F5 O1 V2,173181,5,,174913,1,,,,,,
diff. SGs,F5 O1 V2,162942,1,mp-764744,174218,5,,,,,,
diff. SGs,F5 O1 V2,164299,143,mp-764357,174230,149,,,,,,
diff. SGs,F5 O1 V2,174322,1,mp-763192,156459,5,,,,,,
diff. SGs,F5 O1 V2,174354,1,mp-764159,163619,5,,,,,,
diff. SGs,F4 Li2 Mn1,174758,7,mp-778554,171935,14,,,,,,
diff. SGs,F4 Li2 Mn1,174248,26,mp-763104,155932,135,,,,,,
diff. SGs,Co1 O2,174069,39,mp-849598,159119,-1,,,,,,
diff. SGs,Co1 O2,120902,64,,154123,42,,,,,,
diff. SGs,Co1 O2,85651,12,mp-556750,24920,160,,,,,,
diff. SGs,Co1 O2,85374,166,mp-554635,24920,160,,,,,,
diff. SGs,Co1 O2,154132,160,,154144,166,mp-715478,,,,,
diff. SGs,Co1 O2,154132,160,,154125,12,,,,,,
diff. SGs,Co1 O2,154144,166,mp-715478,154125,12,,,,,,
diff. SGs,C1 Li4 O4,85445,5,mp-550320,84727,23,,,,,,
diff. SGs,C1 Li4 O4,87009,8,mp-549389,5487,5,,,,,,
diff. SGs,C1 Li4 O4,87009,8,mp-549389,84727,23,,,,,,
diff. SGs,C1 Li4 O4,5487,5,,84727,23,,,,,,
diff. SGs,C1 Li4 O4,5487,5,,5480,121,mp-551848,,,,,
diff. SGs,C1 Li4 O4,5486,160,,5488,8,,,,,,
diff. SGs,C1 Li4 O4,84727,23,,5480,121,mp-551848,,,,,
diff. SGs,Bi2 O3,126399,115,,53367,6,mp-37036,,,,,
diff. SGs,F7 Fe4 O1,174798,1,,174114,8,,,,,,
diff. SGs,F7 Fe4 O1,174798,1,,159882,8,,,,,,
diff. SGs,Co2 Li1 O4,174631,4,mp-774082,174585,212,,,,,,
diff. SGs,F7 Fe4 O1,174776,1,mp-778791,160009,9,,,,,,
diff. SGs,Co2 Li1 O4,174585,212,,54302,227,mp-25471,,,,,
diff. SGs,F7 Fe4 O1,160077,8,,174629,1,mp-774048,,,,,
diff. SGs,Co2 Li1 O4,174518,186,mp-771481,168786,9,,,,,,
diff. SGs,Co2 Li1 O4,173998,15,,156629,2,mp-764935,,,,,
diff. SGs,Cr1 Li1 O4 P1,174132,6,mp-772700,160340,40,,,,,,
diff. SGs,O2,151581,1,,155040,92,,,,,,
diff. SGs,Mn1 O2,123190,84,,132039,10,,,,,,
diff. SGs,Mn1 O2,84991,58,mp-33009,92949,14,,,,,,
diff. SGs,Mn1 O2,6598,136,mp-510408,92949,14,,,,,,
diff. SGs,Mn1 O2,87729,141,,51820,227,mp-25545,,,,,
diff. SGs,F4 Fe1 Li2,174738,26,mp-777664,170688,135,,,,,,
diff. SGs,F5 Fe4 O3,174785,12,,172315,2,mp-850340,,,,,
diff. SGs,F4 Fe1 Li2,174082,139,mp-782688,159078,64,,,,,,
diff. SGs,F5 Fe4 O3,159796,8,mp-773741,174099,1,,,,,,
diff. SGs,Li1 Mn2 O4,84789,227,,53606,141,,,,,,
diff. SGs,Li1 Mn2 O4,53606,141,,1393,227,mp-25015,,,,,
diff. SGs,Li1 Mn2 O4,125699,141,,33564,70,mp-641353,,,,,
diff. SGs,Li3 O12 P3 V2,174179,5,,161094,15,,,,,,
diff. SGs,F2 O4 V3,174331,31,mp-763290,156712,58,,,,,,
diff. SGs,F2 O4 V3,173343,65,,174889,38,mp-849219,,,,,
diff. SGs,F2 O4 V3,174750,102,mp-777500,171523,136,,,,,,
diff. SGs,B1 N1,151206,194,mp-629015,23117,186,,,,,,
diff. SGs,B1 N1,92890,107,,50460,8,,,,,,
diff. SGs,Fe1 Li1 O12 P4,174221,9,mp-762628,162760,15,,,,,,
diff. SGs,F3 Fe2 O1,174790,12,mp-780183,172798,2,,,,,,
diff. SGs,Li1 Ni1 O2,177956,12,,123765,8,,,,,,
diff. SGs,Li1 Ni1 O2,177510,12,,123765,8,,,,,,
diff. SGs,C1 K1 N1,51047,65,,53432,5,,,,,,
diff. SGs,C1 K1 N1,51047,65,,52857,2,,,,,,
diff. SGs,Li1 Ni1 O2,87737,8,mp-25587,87649,156,,,,,,
diff. SGs,C1 K1 N1,53432,5,,52857,2,,,,,,
diff. SGs,C1 K1 N1,87141,44,mp-35035,51905,5,,,,,,
same SGs,Li1 Ni1 O2,177956,12,,177510,12,,,,,,
same SGs,Li1 Ni1 O2,151550,191,mp-632864,92896,191,,,,,,
diff. SGs,F1 O3 V2,174345,2,mp-763975,164228,12,,,,,,
diff. SGs,F1 O5 V3,174335,7,mp-763350,156357,31,,,,,,
diff. SGs,Li1 Mn1 O12 P4,85366,7,,48750,134,mp-704184,,,,,
diff. SGs,F5 V1,174157,9,mp-766786,160875,15,,,,,,
diff. SGs,Fe1 Li2 O4 Si1,164102,4,,133853,62,mp-763645,,,,,
